route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
SIM10,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-086400_SIM1_554,ELTINGVILLE TRANS CTR via HYLAN via RICH,1,38667803,SIM100095
SIM10,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-046400_SIM10_598,MIDTOWN via 23 ST via 6 AV,0,38667979,SIM100087
SIM6,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-047500_SIM6_657,MIDTOWN via 23 ST via MADISON AV,0,38667925,SIM60137
SIM10,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-109600_SIM10_597,ELTINGVILLE TRANS CTR via HYLAN via RICH,1,38667969,SIM100095
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-111400_MISC_753,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667810,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-107800_MISC_739,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667805,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-030100_MISC_707,SOHO HOUSTON ST via CHURCH ST,0,38667790,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-031300_SIM1_548,SOHO HOUSTON ST via CHURCH ST,0,38667791,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-032300_SIM1_549,SOHO HOUSTON ST via CHURCH ST,0,38667792,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-033000_SIM1_550,SOHO HOUSTON ST via CHURCH ST,0,38667793,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-034400_SIM1_552,SOHO HOUSTON ST via CHURCH ST,0,38667794,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-035800_SIM1_542,SOHO HOUSTON ST via CHURCH ST,0,38667795,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-035100_SIM1_553,SOHO HOUSTON ST via CHURCH ST,0,38667796,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-036500_MISC_727,SOHO HOUSTON ST via CHURCH ST,0,38667797,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-041100_SIM1_557,SOHO HOUSTON ST via CHURCH ST,0,38667798,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-037900_MISC_735,SOHO HOUSTON ST via CHURCH ST,0,38667799,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-039900_SIM1_556,SOHO HOUSTON ST via CHURCH ST,0,38667800,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-039300_SIM1_555,SOHO HOUSTON ST via CHURCH ST,0,38667801,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-040500_SIM1_540,SOHO HOUSTON ST via CHURCH ST,0,38667860,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-043000_SIM1_559,SOHO HOUSTON ST via CHURCH ST,0,38667802,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-046600_SIM1_549,SOHO HOUSTON ST via CHURCH ST,0,38667792,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-047200_SIM1_550,SOHO HOUSTON ST via CHURCH ST,0,38667793,SIM10139
SIM1C,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-055500_SIM1_556,MIDTOWN via CHURCH ST via 6 AV,0,38667800,SIM1C0104
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-098600_SIM1_575,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667812,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-099200_SIM1_548,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667814,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-104600_SIM1_554,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667803,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-101400_SIM1_550,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667980,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-089000_MISC_736,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667817,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-113400_SIM1_574,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667813,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-098000_SIM1_574,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667813,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-099800_SIM1_549,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667815,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-100400_MISC_761,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667816,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-103600_SIM1_553,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667819,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-096000_SIM5_650,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667809,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-097400_SIM5_651,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667811,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-096700_MISC_751,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667808,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-093900_SIM10_598,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667807,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-103200_SIM1_551,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667818,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-095300_MISC_753,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667810,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-110400_SIM1_558,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667806,SIM10149
SIM6,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-051000_MISC_717,MIDTOWN via 23 ST via MADISON AV,0,38667827,SIM60137
SIM6,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-109500_MISC_750,ELTVLLE TRANS CTR via F CAP BL via GFRDS,1,38667804,SIM60146
SIM5,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-043800_MISC_707,DOWNTOWN FRANKFORT ST via WATER ST,0,38667790,SIM50089
SIM5,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-049500_SIM1_553,DOWNTOWN FRANKFORT ST via WATER ST,0,38667796,SIM50089
SIM5,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-110000_SIM5_650,ELTVLLE TRANS CTR via F CAP BL via GFRDS,1,38667809,SIM50096
SIM5,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-112000_SIM5_651,ELTVLLE TRANS CTR via F CAP BL via GFRDS,1,38667811,SIM50096
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-116400_MISC_761,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667816,SIM10149
SIM1C,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-093500_SIM10_592,MIDTOWN via CHURCH ST via 6 AV,0,38667981,SIM1C0104
SIM1C,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-088700_SIM6_662,MIDTOWN via CHURCH ST via 6 AV,0,38668094,SIM1C0104
SIM1C,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-096500_SIM10_596,MIDTOWN via CHURCH ST via 6 AV,0,38668015,SIM1C0104
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-104100_MISC_736,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667817,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-033700_SIM1_551,SOHO HOUSTON ST via CHURCH ST,0,38668021,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-038600_SIM1_554,SOHO HOUSTON ST via CHURCH ST,0,38668024,SIM10139
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-100900_MISC_779,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38668026,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-102800_SIM1_552,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38668115,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-109400_MISC_749,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667942,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-107200_MISC_740,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38668108,SIM10149
SIM1,YU_A6-Weekday-SDon,YU_A6-Weekday-SDon-115400_SIM1_561,ELTNGVLLE TRANS  CTR via HYLAN via RICH,1,38667844,SIM10149
