service_id,date,exception_type
UP_A6-Weekday,20260223,2
UP_A6-Weekday,20260224,2
UP_A6-Weekday,20260225,2
UP_A6-Weekday,20260226,2
UP_A6-Weekday,20260227,2
UP_A6-Weekday,20260302,2
UP_A6-Weekday,20260303,2
UP_A6-Weekday,20260304,2
UP_A6-Weekday,20260305,2
UP_A6-Weekday,20260306,2
UP_A6-Weekday,20260309,2
UP_A6-Weekday,20260310,2
UP_A6-Weekday,20260311,2
UP_A6-Weekday,20260312,2
UP_A6-Weekday,20260313,2
UP_A6-Weekday,20260316,2
UP_A6-Weekday,20260317,2
UP_A6-Weekday,20260318,2
UP_A6-Weekday,20260319,2
