NTACode,income_score,car_score,bus_subway_score,reliability_score,ridership_score,index_score
BK0101,0.4051876417427377,0.8735483870967742,0.9718,0.623738936540982,0.22486672938768723,0.608901
BK0102,0.3456585410327418,0.9148387096774193,0.9694,0.7372745407162596,0.41196179484924444,0.656246
BK0103,0.9154671954596738,0.8374193548387097,0.92,0.778027499383459,0.46110350288255064,0.789275
BK0104,0.6626266425062965,0.9109677419354839,0.9537,0.8197770637004118,0.44879627268980493,0.751316
BK0201,0.1316227335407478,0.9664516129032258,0.8947,0.8372698002976557,0.3952375776716354,0.609774
BK0202,0.2782915655236077,0.944516129032258,0.9115,0.8100393594411044,0.48297115842295,0.658876
BK0203,0.426949069483857,0.8993548387096775,0.9375,0.8390990378821913,0.5261619928098571,0.705205
BK0204,0.3727477862491025,0.9161290322580645,0.9608,0.8006532477270772,0.4357443535091482,0.67582
BK0261,,,,,,0.0
BK0301,0.636722622995658,0.8696774193548387,0.9453,0.8042195496335587,0.5529919679893022,0.753407
BK0302,0.7576213431798238,0.7987096774193548,0.9827,0.8102106279666634,0.5343259450249823,0.774084
BK0401,0.6410133679783925,0.9032258064516129,0.9324,0.7760789710521506,0.5609022890626026,0.755971
BK0402,0.7442961012912122,0.8064516129032259,0.9158,0.8099171488914725,0.44397913441641024,0.740808
BK0471,,,,,,0.0
BK0501,0.7353071899894014,0.6941935483870967,0.9388,0.916518993266532,0.2866902317416902,0.705241
BK0502,0.7573763205579678,0.7303225806451612,0.9194,0.9399740668716994,0.2968715994105609,0.719659
BK0503,0.8318717449029597,0.7458064516129033,0.9717,0.8590869092436713,0.5841310639769973,0.797158
BK0504,0.9479754293594084,0.6967741935483871,,,,0.376349
BK0505,0.8716651281525294,0.7187096774193549,0.9722,0.8558840920109524,0.2762259875867002,0.739726
BK0571,,,0.9167,0.9008496575972645,0.3225267199108633,0.382973
BK0601,0.2212098419319179,0.9212903225806451,0.9551,0.7680010369148975,0.15525887831746188,0.576832
BK0602,0.0868890104504996,0.9290322580645162,0.925,0.8700037338483977,0.48665692439764957,0.620361
BK0701,0.3875745039716457,0.8825806451612903,0.9189,0.8458048153409764,0.4786238339585098,0.679785
BK0702,0.7126511447684821,0.8451612903225807,0.9457,0.7987594462494995,0.22997256475602795,0.702143
BK0703,0.820911256225284,0.863225806451613,0.9796,0.8470149522628032,0.29572033333794845,0.759989
BK0771,,,1.0,0.8963088340707214,0.4033790295892035,0.415122
BK0801,0.2060697231814193,0.9238709677419354,0.9394,0.8795263768726639,0.42684867131777027,0.64147
BK0802,0.6836302095798147,0.863225806451613,0.9769,0.8159111395116683,0.4594191474861598,0.753203
BK0891,,,1.0,0.9492164401678,0.3276175317306471,0.407906
BK0901,0.6809919427444813,0.8451612903225807,0.9259,0.8526821264770991,0.5191424569844033,0.756191
BK0902,0.6988985378417496,0.8425806451612903,0.9481,0.835070078381019,0.6209430464021553,0.78231
BK1001,0.6286169327726304,0.7432258064516128,0.9799,0.816639964150598,0.20272944145704636,0.664821
BK1002,0.7432618778989595,0.6761290322580644,1.0,0.8670791050986737,0.1190645818985427,0.674916
BK1061,0.5576771855448049,0.5458064516129032,1.0,0.8661626006835852,0.15329974000651694,0.609165
BK1091,,,1.0,0.7645807118705485,0.4995872167182169,0.414605
BK1101,0.7768157315919633,0.7483870967741936,0.9306,0.756043311375024,1.0,0.843408
BK1102,0.6428766795445998,0.6335483870967742,0.9787,0.7919898599618465,0.7444594131616254,0.750859
BK1103,0.7393472141497714,0.7406451612903225,0.9318,0.8148249006063885,0.6730577441481209,0.776161
BK1201,0.7936596122944374,0.8709677419354839,0.9565,0.7481361688374724,0.6781458944110309,0.811758
BK1202,0.8282277456779149,0.7393548387096773,0.9213,0.7400158041571858,0.7921709725927775,0.808624
BK1203,0.6684188633229626,0.7974193548387096,0.9535,0.810057603526702,0.6432099957178484,0.767439
BK1204,0.7560229979372515,0.6593548387096774,0.9344,0.7536949036481333,0.9907382285304025,0.818959
BK1301,0.8304557420766522,0.6451612903225806,0.9592,0.8249705717692848,0.6787778562581035,0.787987
BK1302,0.8807167196599314,0.6903225806451613,0.9604,0.8420340117967903,0.4959892803171553,0.775827
BK1303,0.8729956579712127,0.7638709677419355,0.9744,0.850785074476376,0.7484089936456482,0.843203
BK1391,,,,,,0.0
BK1401,0.7270818375556999,0.8270967741935484,0.9718,0.807594398550763,0.8886584291273641,0.840421
BK1402,0.645287018359602,0.7496774193548387,0.913,0.7982642067113936,0.7642363744128311,0.766444
BK1403,0.7398059192906881,0.6632258064516129,0.9697,0.8085984280945151,0.7905541879116071,0.790937
BK1501,0.7665646688775685,0.6774193548387097,0.9661,0.8466109963377972,0.7016353064711327,0.787664
BK1502,0.7363385642814,0.6645161290322581,0.9753,0.8552481902430363,0.5432826867272248,0.748992
BK1503,0.741538172245205,0.5780645161290322,0.9826,0.8260697510648042,0.6674625138483606,0.75492
BK1601,0.784314563460859,0.8051612903225807,0.9385,0.8911892033692412,0.3617701430912218,0.750843
BK1602,0.911250527083547,0.8387096774193549,0.9192,0.8124524418318821,0.5649307549055148,0.814249
BK1701,0.7301503185294085,0.8348387096774194,0.9444,0.8365946048437559,0.8818383727904918,0.840242
BK1702,0.7047876280670564,0.6670967741935484,1.0,0.7426330276002296,0.8917746210268539,0.799366
BK1703,0.7344496108129053,0.6787096774193548,1.0,0.8341410441094377,0.6692465583230375,0.778325
BK1704,0.7956938698758932,0.7367741935483871,1.0,0.8102994119627958,0.631031068712864,0.794029
BK1771,,,,,,0.0
