nta2020,ntaname,boroname,Total Votes,Zohran Kwame Mamdani,Zohran Kwame Mamdani (%),Andrew M. Cuomo (%),Curtis A. Sliwa (%),winning_candidate,winning_percentage,income_score,car_score,bus_subway_score,reliability_score,ridership_score,index_score,index_no_car
QN0503,Glendale,Queens,7607,2498,32.84,45.5,21.16,Andrew M. Cuomo,45.5,0.6453553967657014,0.4774193548387097,1.0,0.6344158467668645,0.4607131063103014,0.644128,0.685805
SI0101,St. George-New Brighton,Staten Island,4005,2254,56.28,34.13,8.06,Zohran Kwame Mamdani,56.28,0.7558634483230195,0.6141935483870967,0.9897,0.8191334967599613,0.0515793638297607,0.64293,0.650115
BK0801,Prospect Heights,Brooklyn,10866,8979,82.63,15.09,1.11,Zohran Kwame Mamdani,82.63,0.2060697231814193,0.9238709677419354,0.9394,0.8795263768726639,0.4268486713177702,0.64147,0.57087
MN0802,Upper East Side-Carnegie Hill,Manhattan,26803,6643,24.78,71.82,2.66,Andrew M. Cuomo,71.82,0.0,0.9187096774193548,0.9265,0.7372111980158454,0.7695966172042465,0.633543,0.562251
QN0102,Old Astoria-Hallets Point,Queens,4042,2848,70.46,23.58,5.29,Zohran Kwame Mamdani,70.46,0.5291861830034075,0.7664516129032257,0.8182,0.6458076379568138,0.4249534029072773,0.631089,0.597248
QN0903,South Richmond Hill,Queens,2949,1746,59.21,33.03,7.29,Zohran Kwame Mamdani,59.21,0.6977304067375523,0.5729032258064516,0.7778,0.7974347560529037,0.3126973691665126,0.626728,0.640184
QN0904,Ozone Park (North),Queens,3988,2509,62.91,28.86,7.72,Zohran Kwame Mamdani,62.91,0.7358257262356548,0.6064516129032258,0.6923,0.7974347560529037,0.3126973691665126,0.625861,0.630714
QN0303,North Corona,Queens,2964,1520,51.28,39.27,8.43,Zohran Kwame Mamdani,51.28,0.7205403033721951,0.8374193548387097,0.875,0.6632122571831156,0.0073639548761475,0.623574,0.570112
MN0701,Upper West Side-Lincoln Square,Manhattan,27174,11523,42.4,53.65,2.97,Andrew M. Cuomo,53.65,0.1130978836883311,0.944516129032258,0.9474,0.7967494389965067,0.4846174795294721,0.623094,0.542738
QN1205,St. Albans,Queens,10879,6145,56.48,39.93,2.3,Zohran Kwame Mamdani,56.48,0.5935188667418829,0.4129032258064516,1.0,0.9154809179271842,0.2673949352430499,0.621761,0.673976
BK0602,Park Slope,Brooklyn,26396,20302,76.91,20.21,1.7,Zohran Kwame Mamdani,76.91,0.0868890104504996,0.9290322580645162,0.925,0.8700037338483977,0.4866569243976495,0.620361,0.543193
SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,Staten Island,8978,2122,23.64,55.28,20.58,Andrew M. Cuomo,55.28,0.7190331293377552,0.4309677419354838,0.9789,0.8946999869259674,0.1200459926074312,0.619946,0.667191
QN0504,Middle Village,Queens,8097,1790,22.11,52.43,24.95,Andrew M. Cuomo,52.43,0.5950687772801349,0.4709677419354838,1.0,0.6729791905713958,0.3731783015473828,0.618543,0.655437
QN1002,Ozone Park,Queens,4603,2290,49.75,35.93,13.82,Zohran Kwame Mamdani,49.75,0.6871687920954563,0.5419354838709678,0.5,0.7168730048008045,0.6538468477824326,0.61848,0.637616
SI0103,Rosebank-Shore Acres-Park Hill,Staten Island,5176,2080,40.19,43.72,15.36,Andrew M. Cuomo,43.72,0.7406805930687089,0.4116129032258064,0.9804,0.8921219169902471,0.1048258588009687,0.618356,0.670042
QN1203,Baisley Park,Queens,6889,3810,55.31,40.59,2.98,Zohran Kwame Mamdani,55.31,0.6551676980409586,0.4025806451612902,1.0,0.8765334405689057,0.2078964683534232,0.617367,0.671064
QN1301,Glen Oaks-Floral Park-New Hyde Park,Queens,6022,2043,33.93,53.47,11.81,Andrew M. Cuomo,53.47,0.535086669629731,0.1664516129032258,1.0,0.7295100247656333,0.6867972438489368,0.613848,0.725697
BX1203,Wakefield-Woodlawn,Bronx,8077,4034,49.94,42.01,7.09,Zohran Kwame Mamdani,49.94,0.6689658905717575,0.5367741935483872,0.9492,0.6072275796298878,0.2893505680104331,0.613391,0.632545
BK0201,Brooklyn Heights,Brooklyn,10353,6472,62.51,34.31,1.93,Zohran Kwame Mamdani,62.51,0.1316227335407478,0.9664516129032258,0.8947,0.8372698002976557,0.3952375776716354,0.609774,0.520605
BK0101,Greenpoint,Brooklyn,14905,11451,76.83,17.3,5.37,Zohran Kwame Mamdani,76.83,0.4051876417427377,0.8735483870967742,0.9718,0.623738936540982,0.2248667293876872,0.608901,0.542739
BX1002,Throgs Neck-Schuylerville,Bronx,9981,3124,31.3,43.44,24.63,Andrew M. Cuomo,43.44,0.6467286630881968,0.3703225806451612,1.0,0.8173459885664864,0.2334005474097957,0.605029,0.663705
MN0201,SoHo-Little Italy-Hudson Square,Manhattan,6928,3708,53.52,42.19,3.44,Zohran Kwame Mamdani,53.52,0.3292249307668639,0.975483870967742,0.8611,0.8254868520424533,0.1465265556662388,0.602751,0.509568
MN0502,Midtown-Times Square,Manhattan,6745,3003,44.52,50.14,4.37,Andrew M. Cuomo,50.14,0.2341846444892703,0.9858064516129031,0.8926,0.749221819909299,0.2537144238461126,0.597354,0.50024
BX1103,Pelham Gardens,Bronx,5890,2851,48.4,39.88,10.88,Zohran Kwame Mamdani,48.4,0.6679914982848416,0.4077419354838709,1.0,0.6836421781562114,0.1948327102239594,0.590059,0.635638
QN0702,Whitestone-Beechhurst,Queens,8397,1500,17.86,59.45,22.16,Andrew M. Cuomo,59.45,0.5665777747387375,0.2348387096774192,1.0,0.7174870361044073,0.4686500423102738,0.589965,0.678747
MN0203,West Village,Manhattan,13391,6786,50.68,45.92,2.55,Zohran Kwame Mamdani,50.68,0.0974221340900544,0.9651612903225808,0.9216,0.7910378725088651,0.3114008823309301,0.582644,0.487014
SI0202,New Dorp-Midland Beach,Staten Island,8075,1518,18.8,57.26,23.38,Andrew M. Cuomo,57.26,0.6231523584851903,0.3870967741935484,0.9741,0.8883005328418242,0.1019198971771338,0.581657,0.630296
SI0106,Port Richmond,Staten Island,4328,2083,48.13,37.5,13.38,Zohran Kwame Mamdani,48.13,0.6769034838797907,0.3651612903225806,1.0,0.8615315431167906,0.0496982714701884,0.581428,0.635494
QN1306,Springfield Gardens (South)-Brookville,Queens,3981,2320,58.28,38.21,2.51,Zohran Kwame Mamdani,58.28,0.5315281434123105,0.3729032258064516,0.9565,0.9047325767501512,0.2205549908462238,0.578584,0.630004
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Brooklyn,21729,15702,72.26,24.03,2.58,Zohran Kwame Mamdani,72.26,0.2212098419319179,0.9212903225806452,0.9551,0.7680010369148975,0.1552588783174618,0.576832,0.490718
QN1305,Laurelton,Queens,6046,3423,56.62,39.89,2.18,Zohran Kwame Mamdani,56.62,0.523527869898686,0.3483870967741935,1.0,0.8811225832193501,0.214541866985456,0.575636,0.632448
MN0202,Greenwich Village,Manhattan,12100,6165,50.95,45.88,2.15,Zohran Kwame Mamdani,50.95,0.1418851926561591,0.944516129032258,0.8511,0.8099246218186866,0.2758798591287155,0.571259,0.477945
QN0703,Bay Terrace-Clearview,Queens,7362,1551,21.07,61.95,16.34,Andrew M. Cuomo,61.95,0.5366109382656956,0.2941935483870967,1.0,0.6751660881903736,0.3532059685524063,0.564908,0.632586
SI0104,West New Brighton-Silver Lake-Grymes Hill,Staten Island,10867,3707,34.11,47.99,17.12,Andrew M. Cuomo,47.99,0.6114852929444881,0.3754838709677419,1.0,0.815004359496717,0.0714441506113884,0.564508,0.611764
QN1307,Rosedale,Queens,5081,2923,57.53,38.14,3.52,Zohran Kwame Mamdani,57.53,0.5133907711944568,0.3238709677419354,1.0,0.8538528631136401,0.206229444533674,0.562446,0.622089
QN0302,East Elmhurst,Queens,4944,2625,53.09,39.34,6.49,Zohran Kwame Mamdani,53.09,0.7244207779183334,0.6322580645161291,1.0,0.0,0.2116153578826391,0.54988,0.529285
SI0204,New Springville-Willowbrook-Bulls Head-Travis,Staten Island,11131,2512,22.57,55.41,21.48,Andrew M. Cuomo,55.41,0.6115992569546538,0.2580645161290322,1.0,0.8719395402321234,0.0581556885551231,0.546935,0.619152
MN0501,Midtown South-Flatiron-Union Square,Manhattan,9783,4124,42.15,53.97,2.98,Andrew M. Cuomo,53.97,0.025690336991578,0.9496774193548388,0.8636,0.7449210294670505,0.2794527721953466,0.536707,0.433464
SI0301,Oakwood-Richmondtown,Staten Island,6967,1014,14.55,60.16,24.86,Andrew M. Cuomo,60.16,0.499509954756288,0.3238709677419354,0.9726,0.8687467167749542,0.1075841751138471,0.536001,0.589033
MN0102,Tribeca-Civic Center,Manhattan,8881,3299,37.15,59.44,2.48,Andrew M. Cuomo,59.44,0.0882879186752823,0.9625806451612904,0.8,0.8660946889549448,0.1558629956501073,0.535675,0.428948
SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,Staten Island,11318,2202,19.46,64.49,15.47,Andrew M. Cuomo,64.49,0.5570845726919439,0.2890322580645161,1.0,0.8215099301591209,0.0392116160046798,0.528146,0.587925
SI0105,Westerleigh-Castleton Corners,Staten Island,12078,2497,20.67,54.28,24.46,Andrew M. Cuomo,54.28,0.5046554298152643,0.2451612903225806,1.0,0.8705930010006434,0.0462747865715583,0.51504,0.58251
SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,Staten Island,16539,1615,9.76,65.13,24.85,Andrew M. Cuomo,65.13,0.5508336467343613,0.2309677419354838,0.969,0.8360910241533428,0.0315182429009119,0.509419,0.579032
SI0302,Great Kills-Eltingville,Staten Island,20149,2410,11.96,61.74,25.85,Andrew M. Cuomo,61.74,0.4472745506968899,0.2490322580645161,0.982,0.829756083628787,0.0627266563862405,0.495034,0.556534
QN0201,Long Island City-Hunters Point,Queens,10019,6852,68.39,27.53,3.1,Zohran Kwame Mamdani,68.39,0.1896703021185909,0.896774193548387,0.7179,0.4637531255725025,0.2326075535611768,0.486437,0.383853
SI0303,Arden Heights-Rossville,Staten Island,9382,1225,13.06,61.3,25.1,Andrew M. Cuomo,61.3,0.5569478158797452,0.0941935483870969,1.0,0.7591204668336945,0.0028203775524682,0.472508,0.567086
SI0305,Tottenville-Charleston,Staten Island,6022,559,9.28,59.45,30.8,Andrew M. Cuomo,59.45,0.4159629389038941,0.1393548387096775,0.9639,0.7222405751512017,0.0223190464629909,0.437442,0.511963
