route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
Q115,BPPA6-BP_A6-Weekday-01,44402143-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071824,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402144-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071931,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402145-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071963,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402146-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071816,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402147-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071930,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402148-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071848,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402149-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071927,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402150-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071824,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402151-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071839,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402152-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071816,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402153-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071929,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402154-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071848,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402155-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071927,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402156-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071932,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402157-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071839,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402158-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071816,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402159-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071824,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402160-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071848,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402161-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071927,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402162-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071820,Q1150022
Q115,BPPA6-BP_A6-Weekday-01,44402163-BPPA6-BP_A6-Weekday-01,"JAMAICA  PARSONS-HILLSIDE via BREWER BL",0,8071839,Q1150022
