Route ID,weighted_avg_lateness
B1,0.25424655296001153
B11,0.26378627226047824
B12,0.006858618374157823
B13,0.2575582556633856
B14,0.3183329250322203
B15,0.6009727150634782
B16,0.740881475570836
B17,0.23998643372361242
B2,0.09049004037651977
B20,0.0722769702946574
B24,0.49235009253809287
B25,-0.07116378926353005
B26,0.12968099434421168
B3,0.3335130569484021
B31,0.3469008815951837
B32,1.6532590834344905
B35,0.27605578991852486
B36,0.30254053336681436
B37,1.0033266239887504
B38,0.22526508868795966
B39,-0.2904503162168093
B4,0.6236183516627338
B41,0.22125237974621736
B42,-0.3538619516978641
B43,0.30080181833602065
B44,0.6174855181460862
B45,0.24597436166870784
B46,0.2860881879383817
B47,0.6037867827244614
B48,0.7020058400196948
B49,0.2863056237046642
B52,0.40240130694117937
B54,1.0014070036402267
B57,0.6251880800588933
B6,0.6130402103303183
B60,0.313854704353097
B61,0.343261779777242
B62,0.7350562033558772
B63,0.3706757753637424
B64,0.47805435861814
B65,0.5866113570938959
B67,-0.12573379206549745
B68,0.27485097702709627
B69,-0.29085005174666656
B7,0.4026735840320921
B70,0.7659548064718975
B74,-0.3232882402095041
B8,0.8425608151997105
B82,0.3018722647860197
B83,0.0924868806010247
B84,0.3340379595359366
B9,0.6632543614431917
Q14,0.7022178157994378
Q24,0.44897180223431427
Q29,1.1159779588364724
Q39,1.5206847210466954
Q54,0.06677924175892822
Q55,-0.8217488768936096
Q56,0.2501465769172901
Q59,0.4674693790144485
Q67,-0.40519950881697364
X27,0.6678298121750881
X28,0.11952203119554664
X37,1.7906417454221404
X38,0.6054189731118892
