Route ID,weighted_avg_lateness
BX1,0.36934629200267216
BX10,0.3953738832980778
BX11,0.15496620821205997
BX12,0.20729948609357982
BX13,0.1601769681413534
BX15,1.2206450865139444
BX16,0.6428112353394525
BX17,0.5700410125844105
BX19,0.2443046111396062
BX2,0.6431434146510604
BX20,1.4423164145471465
BX21,0.5630484757346005
BX22,0.39158828934019685
BX24,0.18280127916355499
BX27,0.6867535809276445
BX29,0.3592784109279609
BX3,0.2094234710369864
BX30,0.2774275806612857
BX31,1.140971216012275
BX32,0.933786530202448
BX33,0.7109203631029007
BX34,0.6379028412916875
BX35,-0.03967341045060619
BX36,0.8690058416195655
BX39,0.8097051914142629
BX41,0.38003485965563016
BX46,-1.345179270231753
BX5,0.478795403036245
BX6,0.49061655970092066
BX7,0.5546756269981122
BX8,0.5726154079572736
BX9,0.5188808526194211
M100,0.08293640297103289
