Route ID,weighted_avg_lateness
S40,0.299948523437274
S42,0.29746104342979235
S44,0.5490417856780396
S46,0.33779026775581705
S48,0.5177114093325718
S51,0.27810284982383177
S52,-0.15998095248050873
S53,0.24318508402870814
S54,0.7301956015007973
S55,0.4653532871385225
S56,0.37091955004068344
S57,0.4743117547581354
S59,0.19761209480690264
S61,0.19841355803305422
S62,0.32842329781114155
S66,0.3352800623383409
S74,0.6072319464039252
S76,0.3571964299119568
S78,0.5756094868847829
S81,0.3306633045850701
S84,2.1994567458361853
S86,-0.3467684890255837
S89,-0.09741161825797076
S90,-0.22603639102032125
S91,-0.1293115024322978
S92,0.35480924350483956
S93,-0.1796765018498368
S94,0.4288149366828667
S96,0.10421128665406122
S98,0.014427862116436653
SIM1,0.3170506645680174
SIM10,-0.047141707006369465
SIM11,-0.06697704555040068
SIM15,-0.12345134111439765
SIM2,0.3246163346214761
SIM22,-0.6052456790374021
SIM23,-0.031222488740109536
SIM24,0.19222385797021507
SIM25,-0.7110679039732694
SIM26,-0.6040596853140279
SIM3,0.21512245833017346
SIM30,-0.3350311506697664
SIM31,-0.4921482124260355
SIM32,0.3744126506922258
SIM33,-0.14872116149239967
SIM34,0.02259902431331318
SIM35,0.47048601657982
SIM4,-0.08725793350521435
SIM5,-0.019367198015873
SIM6,0.19337660164855197
SIM7,-0.2637702800421116
SIM8,-0.056485907043696715
SIM9,-0.2794741506829619
