Borough,NTA,NTA Name,CD,NTA Area (sq mi),Total Vehicles,% Use Car,Vehicles Stored,Vehicles Stored per Sq. Mile,Non-Residential
Staten Island,SI0191,Snug Harbor,SI01,0.135171995,0,,,0,True
Staten Island,SI0101,St. George-New Brighton,SI01,0.950839996,5721,31.3,3930.327,4134,False
Staten Island,SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,SI02,6.683000088,16680,56.5,7255.8,1086,False
Staten Island,SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,SI01,0.869547009,5160,36.1,3297.24,3792,False
Staten Island,SI0305,Tottenville-Charleston,SI03,4.547410011,10628,68.1,3390.332,746,False
Staten Island,SI0104,West New Brighton-Silver Lake-Grymes Hill,SI01,3.061880112,16774,49.8,8420.548,2750,False
Staten Island,SI0105,Westerleigh-Castleton Corners,SI01,2.745120049,17713,59.9,7102.913,2587,False
Queens,QN0871,Mount Hebron & Cedar Grove Cemeteries,QN08,0.330325007,0,,,0,True
Queens,QN0571,Mount Olivet & All Faiths Cemeteries,QN05,0.274147004,0,,,0,True
Queens,QN1091,Spring Creek Park,QN10,0.425000012,0,,,0,True
Staten Island,SI9561,Fort Wadsworth,SI95,0.353938013,0,,,0,True
Staten Island,SI9591,Hoffman & Swinburne Islands,SI95,0.0228028,0,,,0,True
