Route ID,weighted_avg_lateness
Q1,0.572975155234657
Q12,0.019119423692059045
Q13,-0.901742769887135
Q15,-0.10056419342243048
Q16,0.856147636808102
Q17,0.26514173250932893
Q2,0.018300189255699453
Q20,-0.22908264789346353
Q27,0.41370800881337255
Q3,0.07755901443618375
Q30,0.416499506529738
Q31,0.7425524897361335
Q36,-0.18137420584677422
Q38,1.128775122387308
Q4,0.22330070926362558
Q42,0.0595867686738478
Q43,-0.08259313477596149
Q45,-0.4578893438809921
Q46,0.08312464774384447
Q48,-0.1706556996124031
Q5,-0.24723300122202702
Q58,0.5860292899112467
Q61,1.4806661639372523
Q75,0.0388849556606888
Q76,0.21821219362372252
Q77,-0.23046236131242115
Q82,-0.10333222632139057
Q83,0.16512086835459858
Q84,0.04297413458401305
Q85,0.35905683885410006
Q86,0.2755617600996729
Q87,-0.35175861586161883
Q88,1.2048301037688016
Q89,0.28999137029512795
Q90,-3.2048662047567738
Q98,1.1882344803466593
QM63,-0.5315437238381812
QM64,-0.2950044305555555
QM68,-2.3679005934650457
