Route ID,weighted_avg_lateness
M1,0.9173727459315244
M10,0.2824129448639823
M101,-0.3308048410530083
M104,0.0031359373803759643
M11,0.5966278970363997
M116,0.18667955989208007
M12,0.7252438194417575
M125,0.18079699826195972
M15,0.297146344926325
M2,0.5580070923190313
M20,0.7230936153001181
M21,0.47392249160908195
M22,0.5944412204602082
M3,0.9880406827734568
M31,0.49782381010008653
M35,0.6414411381946016
M4,0.41578982571511175
M42,0.6707693331440155
M5,0.7801715298667138
M50,0.5908387424175802
M55,0.4231296940552025
M57,0.2664299727901092
M66,0.5603501876360535
M7,0.5876742002035111
M72,0.25248721139133334
M8,0.3508432196494903
M9,0.34431249518688595
M96,0.0028692840892401645
M98,1.0376724530287476
