bus_route,days_recorded,avg_ridership,total_ridership_all_days
M14A+,46,6173.195652173913,283967.0
M14D,50,0.0,0.0
M14D+,45,12923.0,581535.0
M15,50,14553.66,727683.0
M15+,50,22704.56,1135228.0
M2,50,7038.56,351928.0
M20,49,1467.0408163265306,71885.0
M21,47,1238.6382978723404,58216.0
M22,48,1597.0208333333333,76657.0
M23+,46,9506.5,437299.0
M3,49,9544.918367346938,467701.0
M31,51,8716.039215686274,444518.0
M34+,50,5339.98,266999.0
M34A+,47,5550.170212765957,260858.0
M35,50,300.06,15003.0
M4,50,11864.06,593203.0
M42,49,9326.34693877551,456991.0
M5,51,5381.196078431372,274441.0
M50,49,2405.7755102040815,117883.0
M55,51,1681.6470588235295,85764.0
M57,50,6365.74,318287.0
M60+,49,7895.693877551021,386889.0
M66,50,6725.26,336263.0
M7,49,8659.734693877552,424327.0
M72,49,3766.9591836734694,184581.0
M79+,48,8868.020833333334,425665.0
M8,48,1142.3541666666667,54833.0
M86+,48,14791.0,709968.0
M9,50,3957.06,197853.0
M90,47,0.0,0.0
M96,51,11665.70588235294,594951.0
M98,49,1233.142857142857,60424.0
M99,50,0.0,0.0
Q06,49,6325.897959183673,309969.0
Q07,49,2503.265306122449,122660.0
Q08,48,6382.770833333333,306373.0
Q09,49,2674.714285714286,131061.0
Q1,51,3057.294117647059,155922.0
Q10,50,14468.14,723407.0
Q100,48,3440.4583333333335,165142.0
Q101,49,3049.6938775510203,149435.0
Q102,50,2136.96,106848.0
Q103,50,1368.64,68432.0
Q104,48,1991.5,95592.0
Q107,48,0.0,0.0
Q108,50,0.0,0.0
Q109,50,6.46,323.0
Q11,48,3176.8541666666665,152489.0
Q110,49,4250.306122448979,208265.0
Q111,48,7712.604166666667,370205.0
Q112,48,3333.375,160002.0
Q113,48,2754.0625,132195.0
Q114,50,3894.52,194726.0
Q115,50,398.32,19916.0
Q12,51,7444.549019607844,379672.0
Q121,50,0.0,0.0
Q13,50,5627.28,281364.0
Q14,51,931.9411764705883,47529.0
Q15,49,2872.3673469387754,140746.0
Q15A,46,2542.1739130434785,116940.0
Q16,49,3468.938775510204,169978.0
Q17,47,12350.872340425532,580491.0
Q18,51,7349.0392156862745,374801.0
Q19,48,3439.6666666666665,165104.0
Q2,49,3905.5102040816328,191370.0
Q20,49,1407.5714285714287,68971.0
Q20A,50,5020.52,251026.0
Q20B,50,4433.16,221658.0
Q21,51,2024.3921568627452,103244.0
Q22,48,2395.0833333333335,114964.0
Q23,49,13840.714285714286,678195.0
Q24,49,4003.734693877551,196183.0
Q25,49,17787.755102040817,871600.0
Q26,50,2550.16,127508.0
Q27,49,17684.061224489797,866519.0
Q28,47,7488.553191489362,351962.0
Q29,49,4843.877551020408,237350.0
Q3,49,5077.816326530612,248813.0
Q30,49,7216.081632653061,353588.0
Q31,50,4450.18,222509.0
Q32,47,8155.95744680851,383330.0
Q33,48,6562.833333333333,315016.0
Q34,48,4979.0,238992.0
Q35,48,2666.3958333333335,127987.0
Q36,48,4449.854166666667,213593.0
Q37,48,5938.166666666667,285032.0
Q38,49,6499.122448979592,318457.0
Q39,50,4397.06,219853.0
Q4,50,5460.56,273028.0
Q40,49,3002.816326530612,147138.0
Q41,47,4581.191489361702,215316.0
Q42,50,853.4,42670.0
Q43,48,9257.083333333334,444340.0
Q44+,48,15007.875,720378.0
Q45,49,613.2857142857143,30051.0
Q46,50,15146.3,757315.0
Q47,50,8057.92,402896.0
Q48,49,2216.1632653061224,108592.0
Q49,50,7812.5,390625.0
Q5,47,7486.255319148936,351854.0
Q50,48,3250.6041666666665,156029.0
Q51,49,168.30612244897958,8247.0
Q52+,48,3600.6041666666665,172829.0
Q53+,49,9854.0,482846.0
Q54,49,8350.224489795919,409161.0
Q55,49,5699.040816326531,279253.0
Q56,49,4031.2448979591836,197531.0
Q58,49,21852.918367346938,1070793.0
Q59,48,6375.4375,306021.0
Q60,48,11731.020833333334,563089.0
Q61,49,311.83673469387753,15280.0
Q63,49,771.5102040816327,37804.0
Q64,50,7670.8,383540.0
Q65,49,17120.122448979593,838886.0
Q66,49,11921.510204081633,584154.0
Q67,49,2435.8367346938776,119356.0
Q69,49,8907.204081632653,436453.0
Q70+,50,107.32,5366.0
Q72,50,5241.76,262088.0
Q74,49,336.2857142857143,16478.0
Q75,50,246.74,12337.0
Q76,50,4098.68,204934.0
Q77,50,3417.38,170869.0
Q80,49,1.9387755102040816,95.0
Q82,50,192.08,9604.0
Q83,49,6164.65306122449,302068.0
Q84,49,3033.2448979591836,148629.0
Q85,49,6314.469387755102,309409.0
Q86,48,299.8958333333333,14395.0
Q87,48,288.3333333333333,13840.0
Q88,49,9279.857142857143,454713.0
Q89,50,274.14,13707.0
Q90,49,132.77551020408163,6506.0
Q92,49,0.08163265306122448,4.0
Q93,50,0.0,0.0
Q94,50,0.0,0.0
Q95,51,0.0,0.0
Q96,47,0.10638297872340426,5.0
Q97,49,9.877551020408163,484.0
Q98,47,965.9787234042553,45401.0
Q98V,50,0.0,0.0
QM1,47,238.7659574468085,11222.0
QM10,48,191.47916666666666,9191.0
QM11,49,419.6326530612245,20562.0
QM12,48,229.5,11016.0
QM15,50,1710.04,85502.0
QM16,49,460.59183673469386,22569.0
QM17,50,552.6,27630.0
QM18,48,160.45833333333334,7702.0
QM2,51,979.3725490196078,49948.0
QM20,48,848.5625,40731.0
QM21,50,143.48,7174.0
QM24,48,526.75,25284.0
QM25,50,365.32,18266.0
QM3,50,89.56,4478.0
QM31,47,152.53191489361703,7169.0
QM32,48,285.1875,13689.0
QM34,49,499.2040816326531,24461.0
QM35,48,311.0,14928.0
QM36,50,113.56,5678.0
QM4,51,408.88235294117646,20853.0
QM40,47,144.08510638297872,6772.0
QM42,49,150.6530612244898,7382.0
QM44,48,131.54166666666666,6314.0
QM5,50,1164.48,58224.0
QM6,50,620.72,31036.0
QM63,48,38.291666666666664,1838.0
QM64,48,17.729166666666668,851.0
QM65,51,11.92156862745098,608.0
QM68,50,31.12,1556.0
QM7,49,495.0612244897959,24258.0
QM8,50,355.08,17754.0
S40,50,2030.74,101537.0
S42,48,400.3125,19215.0
S44,49,2772.0204081632655,135829.0
S46,50,2524.12,126206.0
S48,48,2377.6041666666665,114125.0
S51,49,1661.5102040816328,81414.0
S52,47,1539.8297872340424,72372.0
S53,49,5500.877551020408,269543.0
S54,49,438.2040816326531,21472.0
S55,49,147.16326530612244,7211.0
S56,50,246.6,12330.0
S57,48,733.9583333333334,35230.0
S59,51,1516.1764705882354,77325.0
S61,50,1880.48,94024.0
S62,48,2038.4166666666667,97844.0
S66,50,845.22,42261.0
S74,48,2427.2916666666665,116510.0
S76,49,1733.9183673469388,84962.0
S78,48,3103.9791666666665,148991.0
S79+,48,8635.083333333334,414484.0
S81,50,148.52,7426.0
S84,50,148.68,7434.0
S86,50,82.1,4105.0
S89,49,293.57142857142856,14385.0
S90,49,548.0204081632653,26853.0
S91,50,515.9,25795.0
S92,51,463.29411764705884,23628.0
S93,49,3523.9795918367345,172675.0
S94,49,558.5510204081633,27369.0
S96,49,522.3673469387755,25596.0
S98,50,671.36,33568.0
SIM1,48,2155.5208333333335,103465.0
SIM10,47,1795.723404255319,84399.0
SIM11,46,808.0,37168.0
SIM15,47,1006.9574468085107,47327.0
SIM1C,50,3314.38,165719.0
SIM2,50,957.4,47870.0
SIM22,49,792.1428571428571,38815.0
SIM23,49,367.2857142857143,17997.0
SIM24,47,361.7659574468085,17003.0
SIM25,48,852.5,40920.0
SIM26,50,941.72,47086.0
SIM3,48,756.6041666666666,36317.0
SIM30,48,737.5208333333334,35401.0
SIM31,45,627.8222222222222,28252.0
SIM32,48,432.4583333333333,20758.0
SIM33,48,457.5416666666667,21962.0
SIM33C,47,1457.1914893617022,68488.0
SIM34,46,1107.195652173913,50931.0
SIM35,48,536.125,25734.0
SIM3C,48,1078.1458333333333,51751.0
SIM4,51,1101.0,56151.0
SIM4C,48,1567.0416666666667,75218.0
SIM4X,47,153.93617021276594,7235.0
SIM5,50,681.08,34054.0
SIM5X,46,0.0,0.0
SIM6,51,1280.4313725490197,65302.0
SIM6X,45,0.0,0.0
SIM7,50,623.86,31193.0
SIM8,49,1610.408163265306,78910.0
SIM8X,48,222.75,10692.0
SIM9,51,364.6470588235294,18597.0
T113,50,0.0,0.0
T426,50,0.0,0.0
X1,50,0.0,0.0
X10,50,0.0,0.0
X10B,51,0.0,0.0
X11,48,0.0,0.0
X12,47,0.0,0.0
X14,50,0.0,0.0
X15,49,0.0,0.0
X17,49,0.0,0.0
X17A,47,0.0,0.0
X17J,48,0.0,0.0
X19,49,0.0,0.0
X2,49,0.0,0.0
X21,49,0.0,0.0
X22,51,0.0,0.0
X22A,49,0.0,0.0
X27,50,1724.08,86204.0
X28,51,1640.5294117647059,83667.0
X3,50,0.0,0.0
X30,49,0.0,0.0
X31,50,0.0,0.0
X37,49,889.1020408163265,43566.0
X38,50,768.98,38449.0
X4,47,0.0,0.0
X42,49,0.0,0.0
X5,51,0.0,0.0
X63,47,420.59574468085106,19768.0
X64,49,188.0,9212.0
X68,50,292.24,14612.0
X7,47,0.0,0.0
X8,49,0.0,0.0
X9,50,0.0,0.0
